project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status
jbn-new	75494	dbgi_999999	canonical	dbgi_999999	Abelia		Abelia	Abelia	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260615100607	6.934684	47.000946	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75495	dbgi_999998	canonical	dbgi_999998	Acacia		Acacia	Acacia	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Acacia;taxon_name=Acacia;MatchedCanonical=sect. Acacia	20260615100721	6.934684	47.000946	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75496	dbgi_010876	canonical	dbgi_010876	Iberis sempervirens L		Iberis sempervirens L	Iberis sempervirens L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Iberis sempervirens L;taxon_name=Iberis sempervirens L;MatchedCanonical=Iberis sempervirens	20260623080547	6.9346657	46.999855	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75497	dbgi_011138	canonical	dbgi_011138	Sedum ochroleucum Chaix		Sedum ochroleucum Chaix	Sedum ochroleucum Chaix	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Sedum ochroleucum Chaix;taxon_name=Sedum ochroleucum Chaix;MatchedCanonical=Sedum ochroleucum	20260623082257	6.9344044	46.999786	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75498	dbgi_011163	canonical	dbgi_011163	Glandora oleifolia		Glandora oleifolia	Glandora oleifolia	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260623082604	6.934409	46.99979	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75499	dbgi_010673	canonical	dbgi_010673	Potentilla alchimilloides Lapeyr		Potentilla alchimilloides Lapeyr	Potentilla alchimilloides Lapeyr	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Potentilla alchimilloides Lapeyr;taxon_name=Potentilla alchimilloides Lapeyr;MatchedCanonical=Potentilla alchimilloides	20260623083327	6.934423	46.999798	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75500	dbgi_011194	canonical	dbgi_011194	Ranunculus gramineus L		Ranunculus gramineus L	Ranunculus gramineus L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Ranunculus gramineus L;taxon_name=Ranunculus gramineus L;MatchedCanonical=Ranunculus gramineus	20260623083823	6.9344444	46.9998	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75501	dbgi_011055	canonical	dbgi_011055	Lonicera etrusca Boiss		Lonicera etrusca Boiss	Lonicera etrusca Boiss	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Lonicera etrusca Boiss;taxon_name=Lonicera etrusca Boiss;MatchedCanonical=Lonicera etrusca	20260623084505	6.9344544	46.99979	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75502	dbgi_011180	canonical	dbgi_011180	Cytisus hirsutus L		Cytisus hirsutus L	Cytisus hirsutus L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cytisus hirsutus L;taxon_name=Cytisus hirsutus L;MatchedCanonical=Cytisus hirsutus	20260623085306	6.934477	46.99979	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75503	dbgi_011266	canonical	dbgi_011266	Bupleurum fruticosum L		Bupleurum fruticosum L	Bupleurum fruticosum L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Bupleurum fruticosum L;taxon_name=Bupleurum fruticosum L;MatchedCanonical=Bupleurum fruticosum	20260623085646	6.9344754	46.999794	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75504	dbgi_011192	canonical	dbgi_011192	Erinacea anthyllis Link subsp anthyllis		Erinacea anthyllis Link subsp anthyllis	Erinacea anthyllis Link subsp anthyllis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Erinacea anthyllis Link subsp anthyllis;taxon_name=Erinacea anthyllis Link subsp anthyllis;MatchedCanonical=Erinacea anthyllis subsp. anthyllis	20260623090129	6.934496	46.9998	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75505	dbgi_011173	canonical	dbgi_011173	Medicago sativa L subsp sativa		Medicago sativa L subsp sativa	Medicago sativa L subsp sativa	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Medicago sativa L subsp sativa;taxon_name=Medicago sativa L subsp sativa;MatchedCanonical=Medicago sativa subsp. sativa	20260623090505	6.934508	46.99981	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75506	dbgi_011131	canonical	dbgi_011131	Medicago sativa L subsp sativa		Medicago sativa L subsp sativa	Medicago sativa L subsp sativa	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Medicago sativa L subsp sativa;taxon_name=Medicago sativa L subsp sativa;MatchedCanonical=Medicago sativa subsp. sativa	20260623090827	6.934508	46.99981	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75507	dbgi_011276	canonical	dbgi_011276	Foeniculum vulgare MilL		Foeniculum vulgare MilL	Foeniculum vulgare MilL	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Foeniculum vulgare MilL;taxon_name=Foeniculum vulgare MilL;MatchedCanonical=Foeniculum vulgare	20260623091148	6.9345164	46.999817	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75508	dbgi_011125	canonical	dbgi_011125	Catananche caerulea L		Catananche caerulea L	Catananche caerulea L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Catananche caerulea L;taxon_name=Catananche caerulea L;MatchedCanonical=Catananche caerulea	20260623091618	6.934507	46.999832	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75509	dbgi_011121	canonical	dbgi_011121	Catananche caerulea L		Catananche caerulea L	Catananche caerulea L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Catananche caerulea L;taxon_name=Catananche caerulea L;MatchedCanonical=Catananche caerulea	20260623091834	6.934507	46.999832	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75510	dbgi_011060	canonical	dbgi_011060	Santolina chamaecyparissus L		Santolina chamaecyparissus L	Santolina chamaecyparissus L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Santolina chamaecyparissus L;taxon_name=Santolina chamaecyparissus L;MatchedCanonical=Santolina chamaecyparissus	20260623092350	6.9345098	46.99984	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75511	dbgi_010649	canonical	dbgi_010649	Santolina chamaecyparissus L		Santolina chamaecyparissus L	Santolina chamaecyparissus L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Santolina chamaecyparissus L;taxon_name=Santolina chamaecyparissus L;MatchedCanonical=Santolina chamaecyparissus	20260623092618	6.9345098	46.99984	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75512	dbgi_011241	canonical	dbgi_011241	Teucrium pyrenaicum L		Teucrium pyrenaicum L	Teucrium pyrenaicum L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Teucrium pyrenaicum L;taxon_name=Teucrium pyrenaicum L;MatchedCanonical=Teucrium pyrenaicum	20260623093103	6.934542	46.999836	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75513	dbgi_011172	canonical	dbgi_011172	Helictotrichon cantabricum Lag Gervais		Helictotrichon cantabricum Lag Gervais	Helictotrichon cantabricum Lag Gervais	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Helictotrichon cantabricum Lag Gervais;taxon_name=Helictotrichon cantabricum Lag Gervais;MatchedCanonical=Helictotrichon cantabricum	20260623093630	6.9345355	46.999832	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75514	dbgi_010707	canonical	dbgi_010707	Euphorbia characias L		Euphorbia characias L	Euphorbia characias L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Euphorbia characias L;taxon_name=Euphorbia characias L;MatchedCanonical=Euphorbia characias	20260624071422	6.9346037	46.999844	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75515	dbgi_011153	canonical	dbgi_011153	Euphorbia characias L		Euphorbia characias L	Euphorbia characias L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Euphorbia characias L;taxon_name=Euphorbia characias L;MatchedCanonical=Euphorbia characias	20260624072424	6.9346037	46.999844	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75516	dbgi_011206	canonical	dbgi_011206	Santolina elegans Boiss		Santolina elegans Boiss	Santolina elegans Boiss	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Santolina elegans Boiss;taxon_name=Santolina elegans Boiss;MatchedCanonical=Santolina elegans	20260624073056	6.934605	46.999855	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75517	dbgi_011034	canonical	dbgi_011034	Euphorbia characias L		Euphorbia characias L	Euphorbia characias L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Euphorbia characias L;taxon_name=Euphorbia characias L;MatchedCanonical=Euphorbia characias	20260624073610	6.9346046	46.999855	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75518	dbgi_011211	canonical	dbgi_011211	Thalictrum speciosissimum		Thalictrum speciosissimum	Thalictrum speciosissimum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624074050	6.9346094	46.999836	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75519	dbgi_011200	canonical	dbgi_011200	Phillyrea latifolia L		Phillyrea latifolia L	Phillyrea latifolia L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Phillyrea latifolia L;taxon_name=Phillyrea latifolia L;MatchedCanonical=Phillyrea latifolia	20260624074826	6.9346075	46.999817	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75520	dbgi_011212	canonical	dbgi_011212	Cistus laurifolius L		Cistus laurifolius L	Cistus laurifolius L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Cistus laurifolius L;taxon_name=Cistus laurifolius L;MatchedCanonical=Cistus laurifolius	20260624075329	6.934581	46.9998	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75521	dbgi_010646	canonical	dbgi_010646	Thalictrum speciosissimum		Thalictrum speciosissimum	Thalictrum speciosissimum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624080546	6.9346237	46.999847	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75522	dbgi_011261	canonical	dbgi_011261	Gypsophila altissima		Gypsophila altissima	Gypsophila altissima	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624081702	6.9346247	46.99985	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75523	dbgi_011252	canonical	dbgi_011252	Paeonia broteri		Paeonia broteri	Paeonia broteri	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624082551	6.9346137	46.99986	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75524	dbgi_011203	canonical	dbgi_011203	Erodium manescavi Coss		Erodium manescavi Coss	Erodium manescavi Coss	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Erodium manescavi Coss;taxon_name=Erodium manescavi Coss;MatchedCanonical=Erodium manescavi	20260624083944	6.9346232	46.99987	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75525	dbgi_011082	canonical	dbgi_011082	Erodium manescavi Coss		Erodium manescavi Coss	Erodium manescavi Coss	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Erodium manescavi Coss;taxon_name=Erodium manescavi Coss;MatchedCanonical=Erodium manescavi	20260624084229	6.9346232	46.99987	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75526	dbgi_011124	canonical	dbgi_011124	Juniperus communis subsp nana Syme		Juniperus communis subsp nana Syme	Juniperus communis subsp nana Syme	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Juniperus communis subsp nana Syme;taxon_name=Juniperus communis subsp nana Syme;MatchedCanonical=Juniperus communis subsp. nana	20260624084748	6.9346223	46.999874	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75527	dbgi_011149	canonical	dbgi_011149	Catananche caerulea L		Catananche caerulea L	Catananche caerulea L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Catananche caerulea L;taxon_name=Catananche caerulea L;MatchedCanonical=Catananche caerulea	20260624085003	6.9346223	46.999874	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75528	dbgi_011221	canonical	dbgi_011221	Catananche caerulea L		Catananche caerulea L	Catananche caerulea L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Catananche caerulea L;taxon_name=Catananche caerulea L;MatchedCanonical=Catananche caerulea	20260624085239	6.9346223	46.999874	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75529	dbgi_011387	canonical	dbgi_011387	Coristospermum lucidum		Coristospermum lucidum	Coristospermum lucidum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624090231	6.934627	46.99989	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75530	dbgi_011202	canonical	dbgi_011202	Coristospermum lucidum		Coristospermum lucidum	Coristospermum lucidum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624092520	6.9346266	46.99989	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75531	dbgi_010618	canonical	dbgi_010618	Vella spinosa Boiss		Vella spinosa Boiss	Vella spinosa Boiss	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Vella spinosa Boiss;taxon_name=Vella spinosa Boiss;MatchedCanonical=Vella spinosa	20260624093050	6.934631	46.999897	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75532	dbgi_011277	canonical	dbgi_011277	Helichrysum italicum subsp serotinum DC pFourn		Helichrysum italicum subsp serotinum DC pFourn	Helichrysum italicum subsp serotinum DC pFourn	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Helichrysum italicum subsp serotinum DC pFourn;taxon_name=Helichrysum italicum subsp serotinum DC pFourn;MatchedCanonical=Helichrysum italicum subsp. serotinum	20260624093619	6.9346714	46.99992	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75533	dbgi_011170	canonical	dbgi_011170	Helichrysum italicum subsp serotinum DC pFourn		Helichrysum italicum subsp serotinum DC pFourn	Helichrysum italicum subsp serotinum DC pFourn	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Helichrysum italicum subsp serotinum DC pFourn;taxon_name=Helichrysum italicum subsp serotinum DC pFourn;MatchedCanonical=Helichrysum italicum subsp. serotinum	20260624093958	6.9346714	46.99992	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75534	dbgi_011105	canonical	dbgi_011105	Digitalis obscura		Digitalis obscura	Digitalis obscura	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260624095312	6.9346523	46.999905	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75535	dbgi_011179	canonical	dbgi_011179	Anthemis tinctoria L		Anthemis tinctoria L	Anthemis tinctoria L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Anthemis tinctoria L;taxon_name=Anthemis tinctoria L;MatchedCanonical=Anthemis tinctoria	20260624095726	6.934734	46.999928	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75536	dbgi_011226	canonical	dbgi_011226	Iberis sempervirens L		Iberis sempervirens L	Iberis sempervirens L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Iberis sempervirens L;taxon_name=Iberis sempervirens L;MatchedCanonical=Iberis sempervirens	20260625071204	6.9346995	46.99993	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75537	dbgi_011050	canonical	dbgi_011050	Potentilla recta L		Potentilla recta L	Potentilla recta L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Potentilla recta L;taxon_name=Potentilla recta L;MatchedCanonical=Potentilla recta	20260625071722	6.9346995	46.99996	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75538	dbgi_010602	canonical	dbgi_010602	Sempervivum calcareum Jord		Sempervivum calcareum Jord	Sempervivum calcareum Jord	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Sempervivum calcareum Jord;taxon_name=Sempervivum calcareum Jord;MatchedCanonical=Sempervivum calcareum	20260625072014	6.9346976	46.99997	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75539	dbgi_010859	canonical	dbgi_010859	Armeria alpina Willd		Armeria alpina Willd	Armeria alpina Willd	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Armeria alpina Willd;taxon_name=Armeria alpina Willd;MatchedCanonical=Armeria alpina	20260625072420	6.9347215	46.99997	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75540	dbgi_011162	canonical	dbgi_011162	Sideritis hyssopifolia L		Sideritis hyssopifolia L	Sideritis hyssopifolia L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Sideritis hyssopifolia L;taxon_name=Sideritis hyssopifolia L;MatchedCanonical=Sideritis hyssopifolia	20260625072912	6.934727	46.999973	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75541	dbgi_011247	canonical	dbgi_011247	Sideritis hyssopifolia L		Sideritis hyssopifolia L	Sideritis hyssopifolia L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Sideritis hyssopifolia L;taxon_name=Sideritis hyssopifolia L;MatchedCanonical=Sideritis hyssopifolia	20260625073209	6.934727	46.999973	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75542	dbgi_011195	canonical	dbgi_011195	Dianthus hyssopifolius		Dianthus hyssopifolius	Dianthus hyssopifolius	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260625073507	6.934726	46.999977	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75543	dbgi_011160	canonical	dbgi_011160	Linum alpinum		Linum alpinum	Linum alpinum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260625074040	6.934708	46.999973	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75544	dbgi_011216	canonical	dbgi_011216	Silene saxifraga L		Silene saxifraga L	Silene saxifraga L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Silene saxifraga L;taxon_name=Silene saxifraga L;MatchedCanonical=Silene saxifraga	20260625074835	6.9346757	46.999958	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75545	dbgi_011189	canonical	dbgi_011189	Satureja montana L		Satureja montana L	Satureja montana L	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Satureja montana L;taxon_name=Satureja montana L;MatchedCanonical=Satureja montana	20260625075452	6.934673	46.999966	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75546	dbgi_011135	canonical	dbgi_011135	Achnatherum calamagrostis L pBeauv		Achnatherum calamagrostis L pBeauv	Achnatherum calamagrostis L pBeauv	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Achnatherum calamagrostis L pBeauv;taxon_name=Achnatherum calamagrostis L pBeauv;MatchedCanonical=Achnatherum calamagrostis	20260625075901	6.9346633	46.99996	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75547	dbgi_011095	canonical	dbgi_011095	Sempervivum x rupicolum (montanum x wulfeni)		Sempervivum x rupicolum (montanum x wulfeni)	Sempervivum x rupicolum (montanum x wulfeni)	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260625080523	6.934643	46.99995	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
jbn-new	75548	dbgi_011542	canonical	dbgi_011542	Sempervivum x rupicolum (montanum x wulfeni)		Sempervivum x rupicolum (montanum x wulfeni)	Sempervivum x rupicolum (montanum x wulfeni)	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260625080847	6.934643	46.99995	looks_swapped_ch_lat_lon	false	false	false	false			no_dried_link;not_extracted
