project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbp	74177	dbgi_009877	canonical	dbgi_009877	Rumex aquaticus			Rumex aquaticus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250814094637	14.411989	50.121628	out_of_ch_range	
jbp	74179	dbgi_009887	canonical	dbgi_009887	Rumex aquaticus			Rumex aquaticus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250814095738	14.411989	50.121628	out_of_ch_range	
jbp	74180	dbgi_009854	canonical	dbgi_009854				Garrya flavescens	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250814101322	14.412845	50.121593	out_of_ch_range	
jbp	74181	dbgi_009899	canonical	dbgi_009899	Caesalpinia bonduc			Caesalpinia bonduc	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250814091908	14.412362	50.121735	out_of_ch_range	
jbp	74182	dbgi_009878	canonical	dbgi_009878				Garrya flavescens	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250814102327	14.412848	50.12159	out_of_ch_range	
jbp	74183	dbgi_009892	canonical	dbgi_009892	Rumex aquaticus			Rumex aquaticus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250814095305	14.411982	50.12162	out_of_ch_range	
jbp	74184	dbgi_009842	canonical	dbgi_009842	Consolida regalis			Consolida regalis	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Consolida regalis;name_proposition=Consolida regalis True Wild	20250815152159	14.415398	50.118725	out_of_ch_range	taxon_unified_conflict
jbp	74185	dbgi_009903	canonical	dbgi_009903	Consolida regalis			Consolida regalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815152556	14.415398	50.118725	out_of_ch_range	
jbp	74186	dbgi_009917	canonical	dbgi_009917	Caesalpinia spinosa			Caesalpinia spinosa	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815155207	14.412406	50.121788	out_of_ch_range	
jbp	74187	dbgi_009881	canonical	dbgi_009881	Artemisia afra			Artemisia afra	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815155733	14.412386	50.12177	out_of_ch_range	
jbp	74188	dbgi_009902	canonical	dbgi_009902	Caesalpinia pulcherrima			Caesalpinia pulcherrima	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815162910	14.412434	50.121758	out_of_ch_range	
jbp	74189	dbgi_009897	canonical	dbgi_009897	Caesalpinia pulcherrima			Caesalpinia pulcherrima	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815163107	14.412434	50.121758	out_of_ch_range	
jbp	74190	dbgi_009859	canonical	dbgi_009859	Caesalpinia gilliesii			Caesalpinia gilliesii	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815163323	14.412418	50.121735	out_of_ch_range	
jbp	74191	dbgi_009849	canonical	dbgi_009849	Caesalpinia gilliesii			Caesalpinia gilliesii	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815163656	14.412418	50.121735	out_of_ch_range	
jbp	74192	dbgi_009890	canonical	dbgi_009890				Delphinium ceratophorum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815164132	14.415659	50.120968	out_of_ch_range	
jbp	74193	dbgi_009848	canonical	dbgi_009848				Delphinium ceratophorum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815164329	14.415659	50.120968	out_of_ch_range	
jbp	74194	dbgi_009896	canonical	dbgi_009896	Thalictrum pubescens			Thalictrum pubescens	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815165058	14.416706	50.122204	out_of_ch_range	
jbp	74195	dbgi_009838	canonical	dbgi_009838	Thalictrum pubescens			Thalictrum pubescens	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815165310	14.416706	50.122204	out_of_ch_range	
jbp	74196	dbgi_009869	canonical	dbgi_009869	Artemisia alba			Artemisia alba	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815170256	14.414897	50.11871	out_of_ch_range	
jbp	74197	dbgi_009873	canonical	dbgi_009873	Artemisia alba			Artemisia alba	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815170456	14.414897	50.11871	out_of_ch_range	
jbp	74198	dbgi_009914	canonical	dbgi_009914	Artemisia rutifolia			Artemisia rutifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815170937	14.41487	50.118687	out_of_ch_range	
jbp	74199	dbgi_009882	canonical	dbgi_009882	Artemisia rutifolia			Artemisia rutifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815171103	14.41487	50.118687	out_of_ch_range	
jbp	74200	dbgi_009823	canonical	dbgi_009823				Aconitum firmum subsp. moravicum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815171402	14.419965	50.123383	out_of_ch_range	
jbp	74201	dbgi_009827	canonical	dbgi_009827				Aconitum firmum subsp. moravicum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250815171622	14.419965	50.123383	out_of_ch_range	
jbp	74202	dbgi_009856	canonical	dbgi_009856	Aconitum carmichaelii			Aconitum carmichaelii	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815171926	14.419545	50.123394	out_of_ch_range	
jbp	74203	dbgi_009852	canonical	dbgi_009852	Aconitum carmichaelii			Aconitum carmichaelii	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250815172028	14.419545	50.123394	out_of_ch_range	
jbp	74204	dbgi_009846	canonical	dbgi_009846				Artemisia cf. Tridentata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818094748	14.414391	50.117977	out_of_ch_range	
jbp	74205	dbgi_009826	canonical	dbgi_009826				Artemisia cf. Tridentata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818095238	14.414391	50.117977	out_of_ch_range	
jbp	74206	dbgi_009855	canonical	dbgi_009855	Artemisia frigida			Artemisia frigida	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818095801	14.414413	50.118004	out_of_ch_range	
jbp	74207	dbgi_009821	canonical	dbgi_009821	Artemisia frigida			Artemisia frigida	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818100320	14.414415	50.118008	out_of_ch_range	
jbp	74208	dbgi_009836	canonical	dbgi_009836	Artemisia pontica			Artemisia pontica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818100636	14.414472	50.1187	out_of_ch_range	
jbp	74209	dbgi_009866	canonical	dbgi_009866	Artemisia pontica			Artemisia pontica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818100913	14.414472	50.1187	out_of_ch_range	
jbp	74210	dbgi_009891	canonical	dbgi_009891				Artemisia alba ‘Canescens’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818101434	14.414206	50.11851	out_of_ch_range	
jbp	74211	dbgi_009895	canonical	dbgi_009895	Artemisia alba			Artemisia alba	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Artemisia alba;name_proposition=Artemisia alba ‘Canescens’	20250818101704	14.414206	50.11851	out_of_ch_range	taxon_unified_conflict
jbp	74212	dbgi_009905	canonical	dbgi_009905	Artemisia santonicum			Artemisia santonicum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818102123	14.414769	50.11836	out_of_ch_range	
jbp	74213	dbgi_009818	canonical	dbgi_009818	Artemisia santonicum			Artemisia santonicum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818102303	14.414769	50.11836	out_of_ch_range	
jbp	74214	dbgi_009853	canonical	dbgi_009853	Artemisia dracunculus			Artemisia dracunculus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818102554	14.414895	50.118736	out_of_ch_range	
jbp	74215	dbgi_009850	canonical	dbgi_009850	Artemisia dracunculus			Artemisia dracunculus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818102935	14.414895	50.118736	out_of_ch_range	
jbp	74216	dbgi_009825	canonical	dbgi_009825	Artemisia abrotanum			Artemisia abrotanum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818103208	14.41499	50.11879	out_of_ch_range	
jbp	74217	dbgi_009910	canonical	dbgi_009910	Artemisia abrotanum			Artemisia abrotanum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818103609	14.41499	50.11879	out_of_ch_range	
jbp	74218	dbgi_009872	canonical	dbgi_009872	Artemisia absinthium			Artemisia absinthium	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818103921	14.414989	50.118793	out_of_ch_range	
jbp	74219	dbgi_009870	canonical	dbgi_009870	Artemisia absinthium			Artemisia absinthium	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818104214	14.414989	50.118793	out_of_ch_range	
jbp	74220	dbgi_009880	canonical	dbgi_009880	Inula hirta			Inula hirta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818120109	14.415007	50.119648	out_of_ch_range	
jbp	74221	dbgi_009893	canonical	dbgi_009893	Inula hirta			Inula hirta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818120622	14.415007	50.119648	out_of_ch_range	
jbp	74222	dbgi_009906	canonical	dbgi_009906	Inula hirta			Inula hirta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818121137	14.415007	50.119648	out_of_ch_range	
jbp	74223	dbgi_009841	canonical	dbgi_009841	Inula oculus-christi			Inula oculus-christi	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818121552	14.415001	50.119663	out_of_ch_range	
jbp	74224	dbgi_009904	canonical	dbgi_009904	Inula oculus-christi			Inula oculus-christi	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818121805	14.415001	50.119663	out_of_ch_range	
jbp	74225	dbgi_009832	canonical	dbgi_009832	Inula oculus-christi			Inula oculus-christi	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818121950	14.415001	50.119663	out_of_ch_range	
jbp	74226	dbgi_009876	canonical	dbgi_009876	Inula ensifolia			Inula ensifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818122152	14.414995	50.11968	out_of_ch_range	
jbp	74227	dbgi_009908	canonical	dbgi_009908	Inula ensifolia			Inula ensifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818122333	14.414995	50.11968	out_of_ch_range	
jbp	74228	dbgi_009894	canonical	dbgi_009894	Inula ensifolia			Inula ensifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818122616	14.414995	50.11968	out_of_ch_range	
jbp	74229	dbgi_009871	canonical	dbgi_009871	Inula ensifolia			Inula ensifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818122817	14.414995	50.11968	out_of_ch_range	
jbp	74230	dbgi_009898	canonical	dbgi_009898	Thalictrum flavum			Thalictrum flavum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818123739	14.414769	50.119644	out_of_ch_range	
jbp	74231	dbgi_009883	canonical	dbgi_009883	Thalictrum flavum			Thalictrum flavum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818123855	14.414769	50.119644	out_of_ch_range	
jbp	74232	dbgi_009834	canonical	dbgi_009834	Thalictrum flavum			Thalictrum flavum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124025	14.414769	50.119644	out_of_ch_range	
jbp	74233	dbgi_009907	canonical	dbgi_009907	Thalictrum simplex			Thalictrum simplex	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124317	14.414782	50.119705	out_of_ch_range	
jbp	74234	dbgi_009847	canonical	dbgi_009847	Thalictrum simplex			Thalictrum simplex	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124537	14.414782	50.119705	out_of_ch_range	
jbp	74235	dbgi_009861	canonical	dbgi_009861	Thalictrum lucidum			Thalictrum lucidum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124714	14.414753	50.119686	out_of_ch_range	
jbp	74236	dbgi_009885	canonical	dbgi_009885	Thalictrum lucidum			Thalictrum lucidum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124821	14.414753	50.119686	out_of_ch_range	
jbp	74237	dbgi_009829	canonical	dbgi_009829	Aconitum variegatum			Aconitum variegatum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144832	14.419825	50.123386	out_of_ch_range	
jbp	74238	dbgi_009886	canonical	dbgi_009886	Aconitum variegatum			Aconitum variegatum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145048	14.419825	50.123386	out_of_ch_range	
jbp	74239	dbgi_009889	canonical	dbgi_009889				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818130549	14.41538	50.121643	out_of_ch_range	
jbp	74240	dbgi_009843	canonical	dbgi_009843				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818131008	14.41538	50.121643	out_of_ch_range	
jbp	74241	dbgi_009865	canonical	dbgi_009865	Spiraea nipponica			Spiraea nipponica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132021	14.415343	50.12161	out_of_ch_range	
jbp	74242	dbgi_009828	canonical	dbgi_009828	Spiraea nipponica			Spiraea nipponica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132319	14.415343	50.12161	out_of_ch_range	
jbp	74243	dbgi_009831	canonical	dbgi_009831	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132746	14.415308	50.121582	out_of_ch_range	
jbp	74244	dbgi_009863	canonical	dbgi_009863	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818133104	14.415308	50.121582	out_of_ch_range	
jbp	74245	dbgi_009912	canonical	dbgi_009912	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818133500	14.415308	50.121582	out_of_ch_range	
jbp	74246	dbgi_009839	canonical	dbgi_009839	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134019	14.418057	50.12301	out_of_ch_range	
jbp	74247	dbgi_009874	canonical	dbgi_009874	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134314	14.418057	50.12301	out_of_ch_range	
jbp	74248	dbgi_009888	canonical	dbgi_009888	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134558	14.418057	50.12301	out_of_ch_range	
jbp	74249	dbgi_009901	canonical	dbgi_009901	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134827	14.418001	50.123	out_of_ch_range	
jbp	74250	dbgi_009867	canonical	dbgi_009867	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135247	14.4180565	50.12301	out_of_ch_range	
jbp	74251	dbgi_009913	canonical	dbgi_009913	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135546	14.417999	50.123	out_of_ch_range	
jbp	74252	dbgi_009833	canonical	dbgi_009833	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135838	14.417999	50.123	out_of_ch_range	
jbp	74253	dbgi_009864	canonical	dbgi_009864	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818140043	14.417999	50.123	out_of_ch_range	
jbp	74254	dbgi_009820	canonical	dbgi_009820				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140313	14.416558	50.12256	out_of_ch_range	
jbp	74255	dbgi_009879	canonical	dbgi_009879				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140833	14.416558	50.12256	out_of_ch_range	
jbp	74256	dbgi_009911	canonical	dbgi_009911				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141136	14.416558	50.12256	out_of_ch_range	
jbp	74257	dbgi_009837	canonical	dbgi_009837				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141709	14.416558	50.12256	out_of_ch_range	
jbp	74258	dbgi_009858	canonical	dbgi_009858				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818142754	14.416558	50.12256	out_of_ch_range	
jbp	74259	dbgi_009822	canonical	dbgi_009822	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143107	14.416282	50.122322	out_of_ch_range	
jbp	74260	dbgi_009860	canonical	dbgi_009860	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143449	14.416282	50.122322	out_of_ch_range	
jbp	74261	dbgi_009835	canonical	dbgi_009835	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143703	14.416282	50.122322	out_of_ch_range	
jbp	74262	dbgi_009857	canonical	dbgi_009857	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143935	14.415109	50.12093	out_of_ch_range	
jbp	74263	dbgi_009915	canonical	dbgi_009915	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144154	14.415109	50.12093	out_of_ch_range	
jbp	74264	dbgi_009875	canonical	dbgi_009875	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144350	14.415109	50.12093	out_of_ch_range	
jbp	74265	dbgi_009819	canonical	dbgi_009819	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144653	14.415109	50.12093	out_of_ch_range	
jbp	74266	dbgi_009900	canonical	dbgi_009900	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144953	14.412951	50.12173	out_of_ch_range	
jbp	74267	dbgi_009845	canonical	dbgi_009845	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145602	14.412951	50.12173	out_of_ch_range	
jbp	74268	dbgi_009830	canonical	dbgi_009830	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145811	14.412951	50.12173	out_of_ch_range	
jbp	74269	dbgi_009862	canonical	dbgi_009862	Coffea arabica			Coffea arabica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145941	14.41292	50.121666	out_of_ch_range	
jbp	74270	dbgi_009851	canonical	dbgi_009851	Coffea arabica			Coffea arabica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818150240	14.41292	50.121666	out_of_ch_range	
jbp	76144	dbgi_010030	canonical	dbgi_010030	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151351	14.41204	50.12182	out_of_ch_range	
jbp	76145	dbgi_010033	canonical	dbgi_010033	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151542	14.41204	50.12182	out_of_ch_range	
jbp	76146	dbgi_010062	canonical	dbgi_010062	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151624	14.41204	50.12182	out_of_ch_range	
jbp	76147	dbgi_010037	canonical	dbgi_010037	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128153322	14.41426	50.121994	out_of_ch_range	
jbp	76148	dbgi_010038	canonical	dbgi_010038	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128153634	14.41426	50.121994	out_of_ch_range	
jbp	76149	dbgi_010053	canonical	dbgi_010053	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128154105	14.41426	50.121994	out_of_ch_range	
jbp	76150	dbgi_010019	canonical	dbgi_010019	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155214	14.412075	50.121857	out_of_ch_range	
jbp	76151	dbgi_010036	canonical	dbgi_010036	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155402	14.412075	50.121857	out_of_ch_range	
jbp	76152	dbgi_010072	canonical	dbgi_010072	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155443	14.412075	50.121857	out_of_ch_range	
