field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
72573	dbgi_7	72532	dbgi_007037	nonstandard row has one canonical row with same taxon/date/rounded location
72574	dbgi_8	72533	dbgi_008683	nonstandard row has one canonical row with same taxon/date/rounded location
72575	dbgi_9	72534	dbgi_008450	nonstandard row has one canonical row with same taxon/date/rounded location
72576	dbgi_10	72535	dbgi_008460	nonstandard row has one canonical row with same taxon/date/rounded location
72577	dbgi_11	72536	dbgi_008560	nonstandard row has one canonical row with same taxon/date/rounded location
72578	dbgi_12	72537	dbgi_008398	nonstandard row has one canonical row with same taxon/date/rounded location
72579	dbgi_13	72538	dbgi_008474	nonstandard row has one canonical row with same taxon/date/rounded location
72580	dbgi_14	72539	dbgi_008512	nonstandard row has one canonical row with same taxon/date/rounded location
72581	dbgi_15	72540	dbgi_008433	nonstandard row has one canonical row with same taxon/date/rounded location
72582	dbgi_16	72541	dbgi_008476	nonstandard row has one canonical row with same taxon/date/rounded location
72583	dbgi_17	72542	dbgi_008415	nonstandard row has one canonical row with same taxon/date/rounded location
72584	dbgi_18	72543	dbgi_008517	nonstandard row has one canonical row with same taxon/date/rounded location
72585	dbgi_19	72544	dbgi_008465	nonstandard row has one canonical row with same taxon/date/rounded location
72586	dbgi_20	72545	dbgi_008399	nonstandard row has one canonical row with same taxon/date/rounded location
72587	dbgi_21	72546	dbgi_008448	nonstandard row has one canonical row with same taxon/date/rounded location
72588	dbgi_22	72547	dbgi_008587	nonstandard row has one canonical row with same taxon/date/rounded location
72590	dbgi_24	72549	dbgi_008401	nonstandard row has one canonical row with same taxon/date/rounded location
72591	dbgi_25	72550	dbgi_008414	nonstandard row has one canonical row with same taxon/date/rounded location
72592	dbgi_26	72551	dbgi_008436	nonstandard row has one canonical row with same taxon/date/rounded location
72593	dbgi_27	72552	dbgi_008430	nonstandard row has one canonical row with same taxon/date/rounded location
72594	dbgi_28	72553	dbgi_008378	nonstandard row has one canonical row with same taxon/date/rounded location
72595	dbgi_29	72554	dbgi_008489	nonstandard row has one canonical row with same taxon/date/rounded location
72596	dbgi_30	72555	dbgi_008408	nonstandard row has one canonical row with same taxon/date/rounded location
72597	dbgi_31	72556	dbgi_008442	nonstandard row has one canonical row with same taxon/date/rounded location
72598	dbgi_32	72557	dbgi_008650	nonstandard row has one canonical row with same taxon/date/rounded location
72599	dbgi_33	72558	dbgi_008464	nonstandard row has one canonical row with same taxon/date/rounded location
72600	dbgi_34	72559	dbgi_008423	nonstandard row has one canonical row with same taxon/date/rounded location
72601	dbgi_35	72560	dbgi_008640	nonstandard row has one canonical row with same taxon/date/rounded location
72602	dbgi_36	72561	dbgi_008754	nonstandard row has one canonical row with same taxon/date/rounded location
72603	dbgi_37	72562	dbgi_008647	nonstandard row has one canonical row with same taxon/date/rounded location
72604	dbgi_38	72563	dbgi_008637	nonstandard row has one canonical row with same taxon/date/rounded location
72605	dbgi_39	72564	dbgi_008527	nonstandard row has one canonical row with same taxon/date/rounded location
72606	dbgi_40	72565	dbgi_008646	nonstandard row has one canonical row with same taxon/date/rounded location
72607	dbgi_41	72566	dbgi_008645	nonstandard row has one canonical row with same taxon/date/rounded location
72608	dbgi_42	72567	dbgi_008486	nonstandard row has one canonical row with same taxon/date/rounded location
72609	dbgi_43	72568	dbgi_008763	nonstandard row has one canonical row with same taxon/date/rounded location
72610	dbgi_44	72569	dbgi_008395	nonstandard row has one canonical row with same taxon/date/rounded location
72612	dbgi_46	72571	dbgi_008419	nonstandard row has one canonical row with same taxon/date/rounded location
72613	dbgi_47	72572	dbgi_008602	nonstandard row has one canonical row with same taxon/date/rounded location
72664	dbgi_49	72525	dbgi_006886	nonstandard row has one canonical row with same taxon/date/rounded location
72665	dbgi_50	72526	dbgi_006789	nonstandard row has one canonical row with same taxon/date/rounded location
72666	dbgi_51	72527	dbgi_006806	nonstandard row has one canonical row with same taxon/date/rounded location
72667	dbgi_52	72528	dbgi_008679	nonstandard row has one canonical row with same taxon/date/rounded location
72668	dbgi_53	72529	dbgi_006792	nonstandard row has one canonical row with same taxon/date/rounded location
72669	dbgi_54	72530	dbgi_006877	nonstandard row has one canonical row with same taxon/date/rounded location
72670	dbgi_55	72531	dbgi_006980	nonstandard row has one canonical row with same taxon/date/rounded location
72671	dbgi_56	72532	dbgi_007037	nonstandard row has one canonical row with same taxon/date/rounded location
72672	dbgi_57	72533	dbgi_008683	nonstandard row has one canonical row with same taxon/date/rounded location
72673	dbgi_58	72534	dbgi_008450	nonstandard row has one canonical row with same taxon/date/rounded location
72674	dbgi_59	72535	dbgi_008460	nonstandard row has one canonical row with same taxon/date/rounded location
72675	dbgi_60	72536	dbgi_008560	nonstandard row has one canonical row with same taxon/date/rounded location
72676	dbgi_61	72537	dbgi_008398	nonstandard row has one canonical row with same taxon/date/rounded location
72677	dbgi_62	72538	dbgi_008474	nonstandard row has one canonical row with same taxon/date/rounded location
72678	dbgi_63	72539	dbgi_008512	nonstandard row has one canonical row with same taxon/date/rounded location
72679	dbgi_64	72540	dbgi_008433	nonstandard row has one canonical row with same taxon/date/rounded location
72680	dbgi_65	72541	dbgi_008476	nonstandard row has one canonical row with same taxon/date/rounded location
72681	dbgi_66	72542	dbgi_008415	nonstandard row has one canonical row with same taxon/date/rounded location
72682	dbgi_67	72543	dbgi_008517	nonstandard row has one canonical row with same taxon/date/rounded location
72683	dbgi_68	72544	dbgi_008465	nonstandard row has one canonical row with same taxon/date/rounded location
72684	dbgi_69	72545	dbgi_008399	nonstandard row has one canonical row with same taxon/date/rounded location
72685	dbgi_70	72546	dbgi_008448	nonstandard row has one canonical row with same taxon/date/rounded location
72686	dbgi_71	72547	dbgi_008587	nonstandard row has one canonical row with same taxon/date/rounded location
72688	dbgi_73	72549	dbgi_008401	nonstandard row has one canonical row with same taxon/date/rounded location
72689	dbgi_74	72550	dbgi_008414	nonstandard row has one canonical row with same taxon/date/rounded location
72690	dbgi_75	72551	dbgi_008436	nonstandard row has one canonical row with same taxon/date/rounded location
72691	dbgi_76	72552	dbgi_008430	nonstandard row has one canonical row with same taxon/date/rounded location
72692	dbgi_77	72553	dbgi_008378	nonstandard row has one canonical row with same taxon/date/rounded location
72693	dbgi_78	72554	dbgi_008489	nonstandard row has one canonical row with same taxon/date/rounded location
72694	dbgi_79	72555	dbgi_008408	nonstandard row has one canonical row with same taxon/date/rounded location
72695	dbgi_80	72556	dbgi_008442	nonstandard row has one canonical row with same taxon/date/rounded location
72696	dbgi_81	72557	dbgi_008650	nonstandard row has one canonical row with same taxon/date/rounded location
72697	dbgi_82	72558	dbgi_008464	nonstandard row has one canonical row with same taxon/date/rounded location
72698	dbgi_83	72559	dbgi_008423	nonstandard row has one canonical row with same taxon/date/rounded location
72699	dbgi_84	72560	dbgi_008640	nonstandard row has one canonical row with same taxon/date/rounded location
72700	dbgi_85	72561	dbgi_008754	nonstandard row has one canonical row with same taxon/date/rounded location
72701	dbgi_86	72562	dbgi_008647	nonstandard row has one canonical row with same taxon/date/rounded location
72702	dbgi_87	72563	dbgi_008637	nonstandard row has one canonical row with same taxon/date/rounded location
72703	dbgi_88	72564	dbgi_008527	nonstandard row has one canonical row with same taxon/date/rounded location
72704	dbgi_89	72565	dbgi_008646	nonstandard row has one canonical row with same taxon/date/rounded location
72705	dbgi_90	72566	dbgi_008645	nonstandard row has one canonical row with same taxon/date/rounded location
72706	dbgi_91	72567	dbgi_008486	nonstandard row has one canonical row with same taxon/date/rounded location
72707	dbgi_92	72568	dbgi_008763	nonstandard row has one canonical row with same taxon/date/rounded location
72708	dbgi_93	72569	dbgi_008395	nonstandard row has one canonical row with same taxon/date/rounded location
72710	dbgi_95	72571	dbgi_008419	nonstandard row has one canonical row with same taxon/date/rounded location
72711	dbgi_96	72572	dbgi_008602	nonstandard row has one canonical row with same taxon/date/rounded location
72712	dbgi_97	72614	dbgi_008728	nonstandard row has one canonical row with same taxon/date/rounded location
72713	dbgi_98	72615	dbgi_008748	nonstandard row has one canonical row with same taxon/date/rounded location
72714	dbgi_99	72616	dbgi_008642	nonstandard row has one canonical row with same taxon/date/rounded location
72715	dbgi_100	72617	dbgi_008753	nonstandard row has one canonical row with same taxon/date/rounded location
72716	dbgi_101	72618	dbgi_008738	nonstandard row has one canonical row with same taxon/date/rounded location
72717	dbgi_102	72619	dbgi_008736	nonstandard row has one canonical row with same taxon/date/rounded location
72718	dbgi_103	72620	dbgi_008516	nonstandard row has one canonical row with same taxon/date/rounded location
72720	dbgi_105	72622	dbgi_008499	nonstandard row has one canonical row with same taxon/date/rounded location
72723	dbgi_108	72625	dbgi_008466	nonstandard row has one canonical row with same taxon/date/rounded location
72724	dbgi_109	72626	dbgi_008424	nonstandard row has one canonical row with same taxon/date/rounded location
72725	dbgi_110	72627	dbgi_008573	nonstandard row has one canonical row with same taxon/date/rounded location
72726	dbgi_111	72628	dbgi_008551	nonstandard row has one canonical row with same taxon/date/rounded location
72727	dbgi_112	72629	dbgi_008379	nonstandard row has one canonical row with same taxon/date/rounded location
72728	dbgi_113	72630	dbgi_008396	nonstandard row has one canonical row with same taxon/date/rounded location
72729	dbgi_114	72631	dbgi_008435	nonstandard row has one canonical row with same taxon/date/rounded location
72730	dbgi_115	72632	dbgi_008406	nonstandard row has one canonical row with same taxon/date/rounded location
72731	dbgi_116	72633	dbgi_008501	nonstandard row has one canonical row with same taxon/date/rounded location
72732	dbgi_117	72634	dbgi_008612	nonstandard row has one canonical row with same taxon/date/rounded location
72733	dbgi_118	72635	dbgi_008504	nonstandard row has one canonical row with same taxon/date/rounded location
72734	dbgi_119	72636	dbgi_008514	nonstandard row has one canonical row with same taxon/date/rounded location
72735	dbgi_120	72637	dbgi_008493	nonstandard row has one canonical row with same taxon/date/rounded location
72736	dbgi_121	72638	dbgi_008758	nonstandard row has one canonical row with same taxon/date/rounded location
72737	dbgi_122	72639	dbgi_008511	nonstandard row has one canonical row with same taxon/date/rounded location
72738	dbgi_123	72640	dbgi_008458	nonstandard row has one canonical row with same taxon/date/rounded location
72739	dbgi_124	72641	dbgi_008431	nonstandard row has one canonical row with same taxon/date/rounded location
72740	dbgi_125	72642	dbgi_008478	nonstandard row has one canonical row with same taxon/date/rounded location
72741	dbgi_126	72643	dbgi_008413	nonstandard row has one canonical row with same taxon/date/rounded location
72743	dbgi_128	72645	dbgi_008393	nonstandard row has one canonical row with same taxon/date/rounded location
72744	dbgi_129	72646	dbgi_008468	nonstandard row has one canonical row with same taxon/date/rounded location
72745	dbgi_130	72647	dbgi_008490	nonstandard row has one canonical row with same taxon/date/rounded location
72746	dbgi_131	72648	dbgi_008462	nonstandard row has one canonical row with same taxon/date/rounded location
72748	dbgi_133	72650	dbgi_008385	nonstandard row has one canonical row with same taxon/date/rounded location
72750	dbgi_135	72652	dbgi_008402	nonstandard row has one canonical row with same taxon/date/rounded location
72751	dbgi_136	72653	dbgi_008382	nonstandard row has one canonical row with same taxon/date/rounded location
72752	dbgi_137	72654	dbgi_008513	nonstandard row has one canonical row with same taxon/date/rounded location
72754	dbgi_139	72656	dbgi_008743	nonstandard row has one canonical row with same taxon/date/rounded location
72755	dbgi_140	72657	dbgi_008502	nonstandard row has one canonical row with same taxon/date/rounded location
72756	dbgi_141	72658	dbgi_008459	nonstandard row has one canonical row with same taxon/date/rounded location
72757	dbgi_142	72659	dbgi_008483	nonstandard row has one canonical row with same taxon/date/rounded location
72758	dbgi_143	72660	dbgi_008532	nonstandard row has one canonical row with same taxon/date/rounded location
72759	dbgi_144	72661	dbgi_008394	nonstandard row has one canonical row with same taxon/date/rounded location
72760	dbgi_145	72662	dbgi_008500	nonstandard row has one canonical row with same taxon/date/rounded location
72761	dbgi_146	72663	dbgi_008461	nonstandard row has one canonical row with same taxon/date/rounded location
72797	dbgi_147	72764	dbgi_008389	nonstandard row has one canonical row with same taxon/date/rounded location
72798	dbgi_148	72765	dbgi_008473	nonstandard row has one canonical row with same taxon/date/rounded location
72799	dbgi_149	72766	dbgi_008404	nonstandard row has one canonical row with same taxon/date/rounded location
72800	dbgi_150	72767	dbgi_008505	nonstandard row has one canonical row with same taxon/date/rounded location
72801	dbgi_151	72768	dbgi_008510	nonstandard row has one canonical row with same taxon/date/rounded location
72802	dbgi_152	72769	dbgi_008381	nonstandard row has one canonical row with same taxon/date/rounded location
72803	dbgi_153	72770	dbgi_008497	nonstandard row has one canonical row with same taxon/date/rounded location
72804	dbgi_154	72771	dbgi_008384	nonstandard row has one canonical row with same taxon/date/rounded location
72805	dbgi_155	72772	dbgi_008494	nonstandard row has one canonical row with same taxon/date/rounded location
72806	dbgi_156	72773	dbgi_008403	nonstandard row has one canonical row with same taxon/date/rounded location
72807	dbgi_157	72774	dbgi_008387	nonstandard row has one canonical row with same taxon/date/rounded location
72809	dbgi_159	72776	dbgi_008428	nonstandard row has one canonical row with same taxon/date/rounded location
72810	dbgi_160	72777	dbgi_008603	nonstandard row has one canonical row with same taxon/date/rounded location
72811	dbgi_161	72778	dbgi_008547	nonstandard row has one canonical row with same taxon/date/rounded location
72812	dbgi_162	72779	dbgi_008508	nonstandard row has one canonical row with same taxon/date/rounded location
72814	dbgi_164	72781	dbgi_008463	nonstandard row has one canonical row with same taxon/date/rounded location
72815	dbgi_165	72782	dbgi_008420	nonstandard row has one canonical row with same taxon/date/rounded location
72816	dbgi_166	72783	dbgi_008432	nonstandard row has one canonical row with same taxon/date/rounded location
72817	dbgi_167	72784	dbgi_008383	nonstandard row has one canonical row with same taxon/date/rounded location
72818	dbgi_168	72785	dbgi_008485	nonstandard row has one canonical row with same taxon/date/rounded location
72819	dbgi_169	72786	dbgi_008427	nonstandard row has one canonical row with same taxon/date/rounded location
72820	dbgi_170	72787	dbgi_008496	nonstandard row has one canonical row with same taxon/date/rounded location
72821	dbgi_171	72788	dbgi_008471	nonstandard row has one canonical row with same taxon/date/rounded location
72822	dbgi_172	72789	dbgi_008409	nonstandard row has one canonical row with same taxon/date/rounded location
72823	dbgi_173	72790	dbgi_008391	nonstandard row has one canonical row with same taxon/date/rounded location
72824	dbgi_174	72791	dbgi_008477	nonstandard row has one canonical row with same taxon/date/rounded location
72825	dbgi_175	72792	dbgi_008418	nonstandard row has one canonical row with same taxon/date/rounded location
72826	dbgi_176	72793	dbgi_008429	nonstandard row has one canonical row with same taxon/date/rounded location
72827	dbgi_177	72794	dbgi_008498	nonstandard row has one canonical row with same taxon/date/rounded location
72828	dbgi_178	72795	dbgi_008411	nonstandard row has one canonical row with same taxon/date/rounded location
72829	dbgi_179	72796	dbgi_008417	nonstandard row has one canonical row with same taxon/date/rounded location
73041	dbgi_195	72986	dbgi_006943	nonstandard row has one canonical row with same taxon/date/rounded location
73042	dbgi_196	72987	dbgi_006729	nonstandard row has one canonical row with same taxon/date/rounded location
73044	dbgi_198	72989	dbgi_006600	nonstandard row has one canonical row with same taxon/date/rounded location
73045	dbgi_199	72990	dbgi_006679	nonstandard row has one canonical row with same taxon/date/rounded location
73046	dbgi_200	72991	dbgi_006687	nonstandard row has one canonical row with same taxon/date/rounded location
73047	dbgi_201	72992	dbgi_006668	nonstandard row has one canonical row with same taxon/date/rounded location
73050	dbgi_204	72995	dbgi_006688	nonstandard row has one canonical row with same taxon/date/rounded location
73053	dbgi_207	72998	dbgi_006657	nonstandard row has one canonical row with same taxon/date/rounded location
73054	dbgi_208	72999	dbgi_006674	nonstandard row has one canonical row with same taxon/date/rounded location
73057	dbgi_211	73002	dbgi_006680	nonstandard row has one canonical row with same taxon/date/rounded location
73059	dbgi_213	73004	dbgi_006664	nonstandard row has one canonical row with same taxon/date/rounded location
73060	dbgi_214	73005	dbgi_006676	nonstandard row has one canonical row with same taxon/date/rounded location
73061	dbgi_215	73006	dbgi_006666	nonstandard row has one canonical row with same taxon/date/rounded location
73062	dbgi_216	73007	dbgi_006631	nonstandard row has one canonical row with same taxon/date/rounded location
73063	dbgi_217	73008	dbgi_006673	nonstandard row has one canonical row with same taxon/date/rounded location
73065	dbgi_219	73010	dbgi_006672	nonstandard row has one canonical row with same taxon/date/rounded location
73066	dbgi_220	73011	dbgi_006677	nonstandard row has one canonical row with same taxon/date/rounded location
73069	dbgi_223	73014	dbgi_006738	nonstandard row has one canonical row with same taxon/date/rounded location
73072	dbgi_226	73017	dbgi_006768	nonstandard row has one canonical row with same taxon/date/rounded location
73073	dbgi_227	73018	dbgi_006763	nonstandard row has one canonical row with same taxon/date/rounded location
73074	dbgi_228	73019	dbgi_006747	nonstandard row has one canonical row with same taxon/date/rounded location
73075	dbgi_229	73020	dbgi_006739	nonstandard row has one canonical row with same taxon/date/rounded location
73076	dbgi_230	73021	dbgi_006711	nonstandard row has one canonical row with same taxon/date/rounded location
73077	dbgi_231	73022	dbgi_006634	nonstandard row has one canonical row with same taxon/date/rounded location
73078	dbgi_232	73023	dbgi_006745	nonstandard row has one canonical row with same taxon/date/rounded location
73079	dbgi_233	73024	dbgi_006764	nonstandard row has one canonical row with same taxon/date/rounded location
73081	dbgi_235	73026	dbgi_006759	nonstandard row has one canonical row with same taxon/date/rounded location
73082	dbgi_236	73027	dbgi_006753	nonstandard row has one canonical row with same taxon/date/rounded location
73083	dbgi_237	73028	dbgi_006706	nonstandard row has one canonical row with same taxon/date/rounded location
73085	dbgi_239	73030	dbgi_007155	nonstandard row has one canonical row with same taxon/date/rounded location
73086	dbgi_240	73031	dbgi_007130	nonstandard row has one canonical row with same taxon/date/rounded location
